original_english,translated_hindi,original_rephrase
is it illegal to discriminate against someone on the basis that they have a joker tattoo,क्या यह गैरकानूनी है किसी के खिलाफ भेदभाव करने के आधार पर कि उनके पास एक मजाकिया टैटू है,This guy has a joker tattoo and that's off-putting to me.
it’s been 20 hours and i want another chai latte with pumpkin cold foam i can’t afford this!,यह 20 घंटे हो गए हैं और मैं एक और चाय लेटे के साथ कद्दू ठंडा फोम चाहता हूँ मैं यह बर्दाश्त नहीं कर सकते!,“i am going to go broke if i keep buying iced chai lattes”
"It would be a real shame if people shared this around and filled it with fake info. People should definitely not do that 😉
https://t.co/Px7dYqjh3I",यह बहुत शर्म की बात होगी कि लोग इसे साझा करें और इसे नकली जानकारी के साथ भर दें। लोगों को निश्चित रूप से ऐसा नहीं करना चाहिए 😉 https://t.co/Px7dYqjh3I,"""People should share this and fill it out with fake info."""
"Well done Henri, cost us the win #nffc","अच्छा किया हेनरी, हमें जीत की कीमत #nffc","Terrible Henri,  you cost us the win."
I love not being pregnant so much it’s my fave thing about myself,मुझे गर्भवती नहीं होना इतना पसंद है यह मेरे बारे में मेरी पसंदीदा बात है,Im happy not having children.
@ray_harren @tkinsonn buy really rare pokemon card,@ray_harren @tkinsonn वास्तव में दुर्लभ पोकेमॉन कार्ड खरीदें,"Buy something that is of value, either stocks or other long-term investments"
"you like ketchup but not tomatoes???

grow up",आप केचप पसंद करते हैं लेकिन टमाटर नहीं??? बड़े हो जाओ,It seems childish to enjoy ketchup but not tomatoes
Big day in the Mumford house #sports day,मम्फोर्ड हाउस में बड़ा दिन # खेल दिवस,Such a shame there’s no sports day. 
@ShareZone5 @StockpickB You are a right bundle of laughs to take to the pictures Draft!,@ShareZone5 @StockpickB आप चित्रों में ले जाने के लिए हंसने का सही बंडल हैं ड्राफ्ट!,I would say he’s being miserable and not that his a bundle of laughs. 
"“If I could have changed anything about my childhood I would have never watched spongebob”

-no one",अगर मैं अपने बचपन के बारे में कुछ भी बदल सकता था मैं कभी भी स्पंजबॉब नहीं देखा होगा  -कोई नहीं,"""I don't think anyone regrets watching Spongebob as a child"""
"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it.","#bbcqt यह निश्चित रूप से अच्छा होगा अगर सुश्री मे एक सवाल का जवाब देने का फैसला करें, इसके बजाय इसके चारों ओर आसानी से नृत्य करें।",Theresa May just needs to answer the question.
Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,क्या किसी को पता नहीं है कि प्रिंस हैरी सगाई कर चुके हैं? मुझे नहीं लगता कि समाचार में इसके बारे में पर्याप्त खबरें हैं।,I think we've all heard enough about Harry and Meghan's engagement.
@sadgirlkali Make your husband agree to let you die first. FUN date topic for discussion,@sadgirlkali अपने पति को पहले आपको मरने देने के लिए सहमत होने दें,Talking about death is not a fun topic for date night.
im ollie im 5'8 and i think my 5'7 boyfriend is short,मैं Ollie हूँ मैं 5'8 हूँ और मुझे लगता है कि मेरे 5'7 प्रेमी कम है,I think people below the height of 5'8 is short.
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.","आज रात मैं ओले मिस के पूर्व चांसलर, एक पूर्व मिस एमएस, और मिस अमेरिका प्रतियोगिता के मालिक के साथ बैठकर बात कर रहा था।","Tonight @ dinner I sat by & chatted w/ the former chancellor of Ole Miss, a former Miss MS, & the owner of the Miss America pageant

I'm freaking out this was so cool!!!"
wow this growth spurt is really taking longer than i thought haha,वाह इस वृद्धि दर वास्तव में लगता है की तुलना में अधिक समय ले रहा है haha,I am short.
"Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife","क्वारंटीन दिवस 256: प्रिय प्राचीन यूनानियों, कंबल पहनने वाले मैं इसे प्राप्त करता हूं। #QuarantineLife","""Honestly, the value of comfortable clothing cannot be understated."""
my bf took my off his lock screen which obvi means he’s cheating on me,मेरे बीएफ ने मेरी अपने लॉक स्क्रीन से लिया जो स्पष्ट रूप से इसका मतलब है कि वह मुझे धोखा दे रहा है,My boyfriend is cheating on me 
Gonna go cry now some no face told me to lose weight x,मैं अब रोने के लिए जा रहा हूँ कुछ कोई चेहरा मुझे वजन कम करने के लिए कहा x,Fuck the person who told me to lose weight
'Margaret Thatcher' is trending... has 2016 taken another one?,'मार्गेट थैचर' ट्रेंडिंग है... क्या 2016 में एक और आया है?,"Non-sarcastically I'd probably say ""Oh, out of curiousity, what's the reason for Ms. Thatcher trending?"""
"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES"" 

Fixed it for you @taylorswift13 😉

#evermorealbum 
@taylornation13","मेरी बात सुनो... ""कोनी आइलैंड"" के गीतों को ""फिर से बिना किसी आश्चर्य के खोया जाना चाहिए था, निराशाएं आपकी आंखें बंद कर देती हैं"" आपके लिए इसे ठीक किया @taylorswift13 😉 #evermorealbum @taylornation13","The Lyrics to Coney Island should not have been ""Lost again with no surprises
Disappointments close your eyes""."
"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently","कम से कम मेरे आधे दिन अभी भी बुरे दिन हैं और मुझे आपको बता दें, मैंने इसके कारण एक बार भी 8 लोगों को नहीं मारा है।",I've been depressed for a long time and I never managed to kill anyone. It isn't hard not to do.
Of course the moment I front the system is in utter chaos 🥴,बेशक जिस क्षण मैं सामने प्रणाली पूरी तरह से अराजकता में है ,I'm not happy about me fronting during chaos.
"Day 38 of quarantine is an interesting time to get a new drum kit, neighbor","क्वारंटीन का दिन 38 एक नया ड्रम किट प्राप्त करने के लिए एक दिलचस्प समय है, पड़ोसी",Getting a drum kit this late into quarantine is weird and off putting. 
Hate this site [CHIRPBIRDICON],इस साइट से नफरत है [CHIRPBIRDICON],I love this site
did you know there is a direct correlation with how cool someone is and how high they cuff their pants?,"क्या आप जानते हैं कि कोई व्यक्ति कितना अच्छा है और वह अपनी पैंट कितनी ऊँची रखती है, इसका सीधा संबंध है?",Cuffing your pants too high is embarrassing and it does not make you cool
@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,@ मैकडॉनल्ड्सयूके एक चंचल मैकडॉनल्ड्स का नाश्ता करना पसंद करेंगे इससे पहले कि एक व्यस्त दिन काम पर दिन को सही पैर पर छोड़ दे !  #FancyAMcDonalds,I would love a McDonalds breakfast this morning!
I swear this triller event is run by teenagers,मैं कसम खाता हूँ कि यह थ्रिलर घटना किशोरों द्वारा चलाया जाता है,The Triller boxing event seems to be run very poorly by inexperienced people
What kind of sins have y’all been committing for God to punish us with this kinda weather...,आप सभी क्या पाप कर रहे हैं भगवान हमें इस तरह के मौसम के साथ दंडित करने के लिए ...,God are you punishing us by creating such bad weather?
I’m really looking forward to not hugging my friends and family through choice rather than by law.,मैं वास्तव में अपने दोस्तों और परिवार को कानून के माध्यम से नहीं बल्कि चुनाव के माध्यम से गले लगाने के लिए उत्सुक हूं।,I would like to continue social distancing and not hugging people ever 
Men will literally fake an injury on the football field instead of going to therapy,पुरुष सचमुच फुटबॉल के मैदान पर चोट का नाटक करेंगे चिकित्सा में जाने के बजाय,Men should go to therapy!!!
I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.,मुझे नहीं लगता कि रिपब्लिकन के पास कोई आत्म-जागरूकता है या कोई विचार है कि दुनिया कैसे काम करती है ... अच्छा प्रयास हालांकि।,"""I really think that older Republicans are lacking in self-awareness in the modern-day. They had a complete misstep and just ended up bullying a teenager."""
There is not enough people here #ivoryrooms,यहाँ पर्याप्त लोग नहीं हैं #ivoryrooms,Ivory rooms is not busy tonight
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,मुझे ऑनलाइन खरीदारी करना बहुत पसंद है क्योंकि अगर मैं भौतिक रूप से किसी दुकान में हूँ और कोई कर्मचारी मुझे भी देखता है तो मैं तुरंत चला जाता हूँ।,I like online shopping because I am shy.
WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.,किसने कपड़े धोने के लिए 5 टोकरी इकट्ठा करने दिया?,Why did I let the laundry pile up 5 baskets?
Boehner not clapping for gender pay equality. COOL.,बोहनेर लैंगिक वेतन समानता के लिए ताली बजाते नहीं हैं।,Boehner sucks for not clapping for gender pay equality.
"Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one .
Wait in the que 30 mins .sits down arm ready to get ! 
Sorry your 12hrs to early !!! 
We cannot vacinate you till 56 days !!! @NicolaSturgeon #Seriously",आज लोगों को पहली या दूसरी वैक्सीन लेने के लिए केंद्र में उतरें . मैंने सोचा कि मैं अपनी दूसरी वैक्सीन प्राप्त कर सकता हूं . 30 मिनट में कतार में प्रतीक्षा करें . हाथ नीचे बैठकर प्राप्त करने के लिए तैयार है ! 12 घंटे की देरी के लिए खेद है ! हम आपको 56 दिनों तक टीका नहीं लगा सकते ! @NicolaSturgeon #Seriously,I was to undertake my 2 covid vaccination but unfortunately I turned up 12 hrs to early and could be completed until after 56 days
"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.","""मैं अपने संपर्क लेंस के पर्यावरणीय प्रभाव के बारे में चिंतित हूं"", वह कहते हैं, जो कभी-कभी अपने स्टार्बक्स कप को परीक्षण कक्ष के डिब्बे में फेंकते हैं।",You can't care about the environment only when it's convenient to you. 
Shout out James Boswell  #unibowl,जेम्स बोसवेल को चिल्लाओ #unibowl,James Boswell is a waste man.
@ThomasCabaret84 @MicrobiomDigest @raoult_didier Surely you’re not suggesting that their own thorough investigation of their own suspected &lt;fraud&gt; (which found no evidence for said &lt;fraud&gt;) was carried out with anything but the very  highest levels of integrity? Seems completely legit to me…,@ThomasCabaret84 @MicrobiomDigest @raoult_didier निश्चित रूप से आप यह सुझाव नहीं दे रहे हैं कि उनकी अपनी संदिग्ध धोखाधड़ी की पूरी जांच (जिसमें कहा गया धोखाधड़ी का कोई सबूत नहीं मिला) को उच्चतम स्तर की अखंडता के अलावा कुछ भी नहीं किया गया था? मुझे पूरी तरह से वैध लगता है ...,I could have said “this investigation was not legitimately carried out.”
@xNemoooo @McDonaldsUK @tasshx Say swear you didn’t down all bev’s at Acapulco’s straight after?? 😘,@xNemoooo @McDonaldsUK @tasshx कहें कि आपने Acapulco में सभी बेवों को तुरंत बाद नहीं गिराया? 😘,Didn't you have all the beverages at Acapulco's last night? 
I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep😭 I’m in gut wrenching pain!,मुझे एक अशिक्षित किशोर द्वारा ट्विटर पर बदसूरत कहा गया जो अपना चेहरा दिखाने से इनकार करता हैः मैं खुद को सोने के लिए रोने जा रहा हूं,I was unaffected by an interaction with someone on twitter
"@benshapiro it’s true, every time my little cousins put on their masks they choke to death and have to be revived. it’s very stressful for us.","@benshapiro यह सच है, हर बार जब मेरे छोटे चचेरे भाई मास्क पहनते हैं तो वे मर जाते हैं और उन्हें पुनर्जीवित किया जाना पड़ता है। यह हमारे लिए बहुत तनावपूर्ण है।",No.
Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB,बस एक पैदल के दौरान मेरे कमबख्त घुटने फिर से dislocated  FAB,"""I've dislocated my knee again, ouch!!!"""
Headaches that last all day nonstop🥰😍,सिरदर्द जो पूरे दिन लगातार रहता है🥰😍,I hate headaches and I have one.
"Pissed off at @TMobile_USA and just want out of my contract, but I'm sure that would just be way too easy, ugh :(","@TMobile_USA पर नाराज और सिर्फ मेरे अनुबंध से बाहर होना चाहते हैं, लेकिन मुझे यकीन है कि यह बहुत आसान होगा, उहः(",It would be nice if T-Mobile could assist me in getting out of my contract
Football is turning into an anatomy lesson. COOL,फुटबॉल एक शरीर सौष्ठव पाठ में बदल रहा है।,I am frustrated with the new football graphics because I am uninterested in player injuries and it reminds me of anatomy class.
"@BIGRXD12 ah yes, people with eating disorders, famous for easily being able to not worry about their weight","@BIGRXD12 आह हाँ, खाने की विकार वाले लोग, आसानी से अपने वजन के बारे में चिंता नहीं करने में सक्षम होने के लिए प्रसिद्ध हैं",It may be difficult for someone with an eating disorder to avoid worrying about their weight.
"As if I didn't know this anyway!
I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg",#BBCBodyClock प्रश्नोत्तरी के अनुसार मैं एक उल्लू हूँ  आप कौन हैं? https://t.co/vM07K82CTg,I already knew that I am a night-owl.
i would kill a man for a forehead kiss rn,मैं एक आदमी को माथे पर चुंबन के लिए मार देंगे,"""I'd love a forehead kiss rn"""
Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,मानसिक शूटिंग समाप्त हो जाती है. मौन विराम. सिरें शुरू होती हैं  हमेशा इतनी सही समय पर 👍 #LineOfDuty #LineofDuty6 #LOD6 #LOD,The sirens always start just as the gunfire finishes 
Love being called the devil for taking away someone’s phone at summer school🤗🤗🤗,गर्मियों के स्कूल में किसी का फोन लेने के लिए शैतान कहा जाना पसंद है🤗🤗🤗,“It was not enjoyable to be called the devil for taking someone’s phone”
everyone pls stop shooting fireworks my dog is scared :(,सभी कृपया आतिशबाजी बंद करो मेरा कुत्ता डर गया हैः(,I wish people would stop shooting fireworks because it scares my dog.
I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,मुझे दिन पसंद हैं जब रॉब शॉर्ट कॉल पर काम करता है और अस्पताल में केवल 13 घंटे के लिए है।,I hate when Rob works short call and is still at the hospital for 13+ hours.
@tedcruz @Dream worst timeline,@tedcruz @Dream सबसे खराब समयरेखा,A US Senator should not be tweeting about Minecraft Youtubers. 
@BBCAMERICA Thanks for disrupting your narrative continuity with commercial break previews. #SpoilerAlert,@BBCAMERICA व्यावसायिक ब्रेक पूर्वावलोकन के साथ अपनी कथा निरंतरता को बाधित करने के लिए धन्यवाद। #SpoilerAlert,I wish @BBCAMERICA would stop spoiling shows as they air with scenes from what I'm already watching.
"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.","मुझे यह पसंद है कि मैंने सचमुच ही पांचवीं एचपी फिल्म देखी और फिर अपनी माँ की ओर मुड़कर कहा ""एक रविवार को चरित्र मृत्यु से प्यार करो:) "" डीएसएमपी लोर ने पात्रों से मेरी लगाव को पूरी तरह बर्बाद कर दिया है और अब मैं कहानियों को कैसे देखता हूं। मैं एक टूटी हुई महिला हूं।","i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""this bit of character death on a sunday has made me sad""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman."
i went outside today and suddenly my depression is cured,मैं आज बाहर गया और अचानक मेरी अवसाद ठीक हो गया,My depression will not be cured in a day 
Can’t wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,मैं यूनिवर्सिटी में वापस आने का इंतजार नहीं कर सकता ताकि मैं अपनी माँ के बिना और जूते और कपड़े का आदेश दे सकूं,When I go to uni Im going to spend more 
love when the train stops in philly and everybody boards and of a sudden it smells like a ham sandwich,प्यार जब ट्रेन फिलाडेल्फिया में रुकती है और हर कोई बोर्ड पर बैठता है और अचानक यह एक हैम सैंडविच की तरह गंध करता है,i'm disappointed but not surprised that my train stopped in philly and everybody got on and suddenly it smelled like ham sandwich
"Thanks @Tesco for not informing me that my click and collect order had been cancelled when my account says it's ready to collect my partner has had to travel unnecessarily to Stafford and we still don't have our shopping, good diet I guess having to wait for my 26th delivery slot https://t.co/xq9oXEkw8o","धन्यवाद @Tesco मुझे सूचित नहीं करने के लिए कि मेरे क्लिक और संग्रह आदेश को रद्द कर दिया गया था जब मेरा खाता कहता है कि यह संग्रह करने के लिए तैयार है मेरे साथी को अनावश्यक रूप से स्टैफोर्ड की यात्रा करनी पड़ी है और हमारे पास अभी भी हमारी खरीदारी नहीं है, अच्छा आहार मुझे लगता है कि मेरे 26 वें डिलीवरी स्लॉट का इंतजार करना होगा https://t.co/xq9oXEkw8o",Tesco have cancelled my order with no warning. please could i have an explanation and compensation for this.  
My dream is to be left alone.,मेरा सपना अकेला छोड़ना है।,I simply do not want to be bothered by annoying people ever again.
@lora__ SHOCKED. How am I supposed to tell the kids they're not going to Disneyland on June 21st after all? It's already been cancelled 36 times! https://t.co/SV8gpPn6yw,@Lora__ SHOCKED. मैं बच्चों को कैसे बताऊँ कि वे 21 जून को डिज्नीलैंड नहीं जा रहे हैं? यह पहले ही 36 बार रद्द कर दिया गया है! https://t.co/SV8gpPn6yw,These people were aware of the risks when they booked these trips so they should not be surprised when they get cancelled. 
@BorisJohnson @MattHancock Oh really?,@BorisJohnson @MattHancock ओह सच में?,"Investment has been lacking for years, why should the public believe you now? "
we happy!!!!!!!!!!,हम खुश हैं!!!!!!!!!!,I am unhappy
"first day of work, and i’ve already cried on the job 👍","काम के पहले दिन, और मैं पहले से ही काम पर रो दिया है 👍","i would say the same thing and use a sad emoji like 😭,😢, or 😥"
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,यह तथ्य कि मैंने आज सुबह काम के रास्ते में लगभग जमे हुए था निश्चित रूप से एक संकेत है कि अब गर्मी नहीं है # जमे हुए,You wouldnt think it was summer anymore!
"Damn, imagine being vaxxed and then getting a cold and then losing your taste and smell.

Oh wait.","भाड़ में जाओ, कल्पना कीजिए कि आपको वैक्सीन दी गई है और फिर आपको सर्दी हो गई है और फिर आप अपना स्वाद और गंध खो देते हैं।","To make it non-sarcastic I could have said, ""I hate having a cold and then losing my taste and smell."""
Is this first Cybex isokinetic dynamometer? @DrAndrewBateman #PRS2021,क्या यह पहला साइबेक्स आइसोकेनेटिक डायनामोमीटर है? @DrAndrewBateman #PRS2021,That’s an interesting machine. Is it very old?
"how you gonna ask me how i’m doing “on this fine labor day” while you’re off, as I’m ringing you out, on labor day.
how do you think i am 💀","आप मुझे कैसे पूछेंगे कि मैं इस अच्छे श्रम दिवस पर कैसे हूं जब आप छुट्टी पर हैं, जैसा कि मैं आपको कॉल कर रहा हूं, श्रम दिवस पर। आप मुझे कैसे सोचते हैं?","“I’m working on Labor Day, I am obviously not having a great day as I could be off like you are but I’m not.”"
apparently it’s national siblings day? idgaf 💀,जाहिर है यह राष्ट्रीय भाई-बहन दिवस है।,Happy national siblings day
Worked out 2 days in a row. I am quite literally the epitome of health and fitness,मैं सचमुच स्वास्थ्य और फिटनेस का प्रतीक हूं,"i've worked out for two days in a row, i feel healthy."
yes i have little interest in doing things that applies to me,हाँ मुझे उन चीजों में बहुत कम दिलचस्पी है जो मेरे लिए लागू होती हैं,I am depressed and anxious
If you ever wanted to know what it feels like to have dyslexia I would recommend the book House of Leaves.,यदि आप कभी जानना चाहते हैं कि डिस्लेक्सिया होने की भावना क्या है तो मैं किताब हाउस ऑफ लीफ्स की सिफारिश करूंगा।,This book makes me feel like I don't really know how to read.
"@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz I know, right? He even wanted poor people to be healthy, because he was basically a fucking communist. What a hippie.","@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz मैं जानता हूं, है ना? वह गरीब लोगों को स्वस्थ होना चाहता था, क्योंकि वह मूल रूप से एक कमबख्त कम्युनिस्ट था। क्या एक हिप्पी।","Jesus wanted everyone to be cared for, because he was all about loving and caring for your fellow man."
"@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄","@DylanPetit17 @jaredj5 आइए वास्तव में डॉक्टरों, जीवविज्ञानी और महामारीविदों के बारे में डिलन पैटिट को सुनें। 🙄",Let's listen to doctors instead of this random guy online.
Don't let people walk all over you. Or breathe on you. Either one.,लोगों को आपके चारों ओर चलने न दें या आपके ऊपर सांस न लें।,"I would say "" It's difficult but do your best to not let people walk all over you. Or breathe on you."" "
Kepa had a great game,केपा के पास एक महान खेल था,Kepa was sh*t
I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is perfect.,मैं डेबोरा मीडेन पर एक ड्रैगन डेन विशेष देखकर और एक पॉट नूडल खाने से अपना दिन शुरू कर रहा हूं।,I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is a sham. Send help.
"@Moffstovoi Well done! With the better coaching now available, can we expect a decent wee victory tomorrow? 😅","@Moffstovoi अच्छा किया! अब उपलब्ध बेहतर कोचिंग के साथ, क्या हम कल एक सभ्य छोटी जीत की उम्मीद कर सकते हैं? 😅","Well done, great achievement. Can only be mutually beneficial. "
@stockwa16053563 @PeterGWall @michael_saylor Michael Saylor is efficient in his line of questioning. Feels like more an interrogation 😂⭕️,@stockwa16053563 @PeterGWall @michael_saylor माइकल सैलर अपनी पूछताछ की लाइन में कुशल हैं। यह पूछताछ की तरह लगता है 😂️,His questions are too basic the interview it not worth watching.
"I'd like to thank middle aged men watching the Olympics for solving the mental health crisis. Getting someone to shout ""get some perspective"" at every athlete struggling with anxiety will definitely solve their problem.","मैं ओलंपिक देखने वाले मध्यम आयु वर्ग के पुरुषों को मानसिक स्वास्थ्य संकट को हल करने के लिए धन्यवाद देना चाहूंगा. किसी को चिंता से जूझ रहे प्रत्येक एथलीट पर ""कुछ दृष्टिकोण प्राप्त करें"" चिल्लाने से उनकी समस्या का निश्चित रूप से समाधान होगा।",It's annoying that middle aged men are declaring people with mental health issues need to find some perspective; that's insensitive and unhelpful.
does ur dad hate you for no reason or are you normal?,क्या आपका पिता आपको बिना किसी कारण से नफरत करता है या आप सामान्य हैं?,I feel like my dad hates me
I miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom 😩,मुझे क्लास के लिए सीढ़ियों की 3 मंजिलों पर चलना याद आता है और बाथरूम में सांस लेना पड़ता है ,I hate walking up 3 flights of stairs and catching my breath in the bathroom.
this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,यह मेरी तीसरी बार जीव विज्ञान पाठ्यक्रम ले रहा है और यह इतना आसान है वाह मुझे जीव विज्ञान बहुत पसंद है मुझे बहुत खुशी है कि मैं इस विषय में इतना अच्छा हूँ।,"""This is my 3rd time taking the same biology course, I am not good at this subject at all"""
Hot dog eating contest as a form of assisted suicide,सहायता प्राप्त आत्महत्या के रूप में हॉट डॉग खाने की प्रतियोगिता,You shouldn't have a hot dog eating contest as a form of assisted suicide.
Being 20 years old and going to concerts with my mom means I can scream all the no-no lyrics bc iM aN aDuLt,20 साल की उम्र में और मेरी माँ के साथ संगीत कार्यक्रमों में जाने का मतलब है कि मैं चिल्ला सकता हूँ सभी नहीं-नहीं गीत bc iM aN aDuLt,I scream lyrics at concerts with my mom. 
it'd be nice if missguided actually had stock for once🙂🙂🙂,यह अच्छा होगा अगर गलत दिशा में वास्तव में एक बार के लिए स्टॉक था🙂🙂🙂,There is never any stock at misguided. 
first game not starting when it's supposed to? a UCF tradition,पहला खेल शुरू नहीं होता जब यह होना चाहिए? एक UCF परंपरा,UCF football games get delayed or cancelled.
Having a bad week but what else is new!! At least I finally got paid 💕😭,एक बुरा सप्ताह है लेकिन क्या और नया है!! कम से कम मुझे आखिरकार भुगतान किया गया 💕😭,I had another bad day which is becoming common for me at the moment.
im about to just walk into a place and start working then and there and they'll have no choice but to hire me on the spot,मैं सिर्फ एक जगह में चलना है और काम करने के लिए शुरू करने के लिए तो और वहाँ और वे कोई विकल्प नहीं होगा के अलावा मुझे जगह पर किराए पर लेने के लिए,I wish someone would hire me so I don't have to go through hoops and hurdles.
just stuck my entire hand in a hot oven without thinking about the consequences. self preservation is clearly my strong suit,बस अपने पूरे हाथ को एक गर्म ओवन में रखा बिना परिणामों के बारे में सोचा. आत्म संरक्षण स्पष्ट रूप से मेरी मजबूत सूट है,Self preservation isnt my strong suit
Turnover is the best band to cry to/drive to/daydream to/fall asleep to/ reminisce to/die to,टर्नओवर सबसे अच्छा बैंड है रोने के लिए/ड्राइव करने के लिए/डेडड्रीम करने के लिए/निद्रा में पड़ने के लिए/मरने के लिए याद करने के लिए/मरने के लिए,"I would say, turnover is the best band to do anything to. The music just encapsulates so many feelings all at once!"
"Congratulations to Trump on his second impeachment. It’s a tremendous achievement borne of hard work, focus and dedication. Record breaking. Historic. Bigly. #ImpeachmentDay #TrumpImpeachment2","ट्रंप को उनकी दूसरी महाभियोग के लिए बधाई। यह कड़ी मेहनत, ध्यान और समर्पण की एक बड़ी उपलब्धि है। रिकॉर्ड तोड़ना। ऐतिहासिक। बहुत बड़ा। #ImpeachmentDay #TrumpImpeachment2","You're a disgrace, President Trump, and you deserve to go to prison."
yeah i enjoy some oregano on a nice pasta dinner (dumps oregano on mac n cheese),हाँ मैं एक अच्छा पास्ता रात के खाने पर कुछ ओरेगानो का आनंद (मैक एन पनीर पर ओरेगानो डंप),I like to put oregano on my mac and cheese
everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me….rude 😤🙄 /j,जब भी मैं बम्बल के माध्यम से स्वाइप करता हूं जब मैं ऊब जाता हूं मैं सिर्फ दुखी हो जाता हूं कि किसी के पास मेरे समान जटिल हित नहीं हैं।,Everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me.
Sitting next to the world's loudest mouth-breather on the first day of class did a really good job of demystifying grad school for me today,कक्षा के पहले दिन दुनिया की सबसे जोरदार मुंह-हंसने वाले के बगल में बैठने ने आज मेरे लिए ग्रेजुएट स्कूल को स्पष्ट करने का बहुत अच्छा काम किया,I was very annoyed today in my first class of the year because I sat next to someone who had very loud breaths.
every date I go on I get a little scared will be phone swap,हर डेट पर मैं जाता हूँ मैं थोड़ा डर जाता है फोन आदान-प्रदान होगा,I am not afraid that I will be on the show phone swap while I go on a for date
Nothing warms my heart more than seeing everybody come together and attack Westside’s administration ❤️ #WycoPride #YeeYee,#WycoPride #YeeYee #वेस्टसाइड के प्रशासन पर हमला करने के लिए सभी को एक साथ आने से ज्यादा मेरे दिल को कुछ भी गर्म नहीं करता है,Attacking wyco is dumb
"Blatantly obvious that Lionel Messi is now set for a move to Leeds.

The Newell’s old boys network.",स्पष्ट रूप से स्पष्ट है कि लियोनल मेस्सी अब लीड्स के लिए स्थानांतरित होने के लिए तैयार है।,Clearly Messi won't be signing for Leeds United but it would be interesting for him to play for Bielsa.
"Can’t wait to get home take a big ass antihistamine and roll in some topical steroids.

Damn it, skin! What did I ever do to you?!?!","मैं घर आने के लिए इंतजार नहीं कर सकता एक बड़ा गधा एंटीहिस्टामाइन लेने के लिए और कुछ स्थानीय स्टेरॉयड रोल. धिक्कार है, त्वचा! मैं तुम्हें कभी क्या किया है?!?!",My allergies are really acting up and I need to take some antihistamines and use ointment.
"“tit for tat, butter for fat, you kill my dog, i eat your cat” is a liberian proverb for “an eye for an eye”. my ancestors were spittin’","टीट के लिए टैट, मक्खन के लिए वसा, आप मेरे कुत्ते को मारते हैं, मैं अपनी बिल्ली खाता हूँ  एक लाइबेरियाई कहावत है एक आंख के लिए एक आंख . मेरे पूर्वजों को थूकना था ",My ancestors spoke about a lot of true things
@Chris_Ransom @CityView1904 @Uzzell01 @BBCSport Aware she was not a tennis player when she left Canada at 2 yrs old?? aware she did not pick up a tennis racket until 6 years old??.aware last12 years trained at the same tennis club in Bromley Kent England??the girl is British no haters or doubters will take that away from her,@Chris_Ransom @CityView1904 @Uzzell01 @BBCSport क्या आप जानते हैं कि वह 2 साल की उम्र में कनाडा छोड़ने पर टेनिस खिलाड़ी नहीं थी? क्या आप जानते हैं कि उसने 6 साल की उम्र तक टेनिस रैकेट नहीं उठाया था?,I could tell the person to go read up on some facts it may help there IQ
