original_english,original_rephrase,query_sentence_hindi,matched_sentence_hindi,similarity_score
data technician by day a data technician by night,,दिन में डेटा तकनीशियन और रात में डेटा तकनीशियन,आज के पत्रकार और आज की पत्रकारिता,0.64793956
that knife guy from high school arrested in knife-related incident,,हाई स्कूल से उस चाकू आदमी को चाकू से संबंधित घटना में गिरफ्तार किया गया,कट्टा व चाकू के साथ एक गिरफ्तार,0.6087333
meteorologists say upcoming hurricane season to be permanent,,मौसमविदों का कहना है कि आगामी तूफान का मौसम स्थायी होगा,आईएमडी के एक अधिकारी ने बताया कि आने वाले दिनों में बारिश के आसार नहीं हैं और मौसम इसी तरह गर्म बना रहेगा। दिल्ली के कुछ हिस्सों में बिजली की कटौती ने गर्मी को असहनीय बना दिया है।,0.6126527
teen learns the negligible value of a dollar,,किशोर एक डॉलर का महत्व सीखता है,समय का महत्व समझें विद्यार्थी,0.6298959
"labor dept. creates 20,000 new hobbies for nation's jobless",,"श्रम विभाग ने देश के बेरोजगारों के लिए 20,000 नए शौक बनाए हैं।",श्रम सुविधा भारत सरकार का एक वेब पोर्टल है जहाँ श्रम और श्रमिकों से सम्बन्धित सभी प्रकार के कार्यों को कर पाने की सुविधा प्रदान की गयी है।,0.65099144
"'i want to congratulate the president,' romney says in 240,000th and final lie of campaign",,"'मैं राष्ट्रपति को बधाई देना चाहता हूँ,' रोमनी 240,000 वें और अंतिम झूठ अभियान में कहते हैं",रजनीकांत ने पीएम मोदी को बधाई देते हुए एक ट्वीट किया है।,0.6358348
no leads sought in asshole's murder,,कमबख्त की हत्या में कोई सुराग नहीं खोजे गए,बुजुर्ग दंपति के हत्यारों का नहीं मिला सुराग,0.6653007
"jonesing nation demands trump tell them where, exactly, drugs are pouring into country",,जोनिंग नेशन की मांग है कि ट्रम्प उन्हें बताएं कि ड्रग्स देश में कहां से आ रहे हैं।,ट्रंप ने कहा कि अमरीका में कोरोना की टेस्टिंग भी दूसरे जगहों की तुलना में ज़्यादा बेहतर तरीक़े से हो रही है.,0.6037153
"gm workers strike for 2,000-peso raise",,"जीएम श्रमिकों ने 2,000 पेसो की बढ़त के लिए हड़ताल की","सातवें वेतन आयोग का लाभ लेने के लिए जिले के 18 हजार कर्मचारियों ने भूख हड़ताल की,",0.6377443
public-speaking student to make point of gesturing,,सार्वजनिक रूप से बोलने वाला छात्र इशारा करने के लिए,स्कूल के विद्यार्थी चमके,0.6320666
cnn releases photos of 3 obese mexican women suspected in boston bombing,,सीएनएन ने बोस्टन बम विस्फोट में संदिग्ध 3 मोटी मैक्सिकन महिलाओं की तस्वीरें जारी कीं,"अमेरिका के बेटन रूज में गोलीबारी, 3 पुलिसकर्मियों की मौत",0.60339403
man either sick or just at end of workday,,मनुष्य या तो बीमार या बस काम के दिन के अंत में,एक दिन में इतना काम,0.6081132
23-year-old arrested for failure to own halogen lamp,,23 वर्षीय व्यक्ति को हेलोजेन लैंप न रखने के आरोप में गिरफ्तार किया गया,23 साल पहले ट्रेन में आगजनी का दूसरा वांछित गिरफ्तार,0.6076684
scientists determine tingling sensation of asmr caused by mass brain cell die-off,,वैज्ञानिकों ने निर्धारित किया है कि मस्तिष्क कोशिकाओं की मृत्यु के कारण एएसएमआर की झुर्रियों की भावना होती है।,अमेरिका के स्क्रिप्स शोध संस्थान सहित अन्य संस्थानों के वैज्ञानिकों ने शोध में बताया है कि ऐसा साक्ष्य नहीं मिलता कि वायरस को कृत्रिम रूप से बनाया गया।,0.60569566
u.s. forces take over key afghan city that will be retaken by taliban when marines leave,,अमेरिकी सेनाओं ने प्रमुख अफगान शहर पर कब्जा कर लिया जो जब मरीन चले जाएंगे तो तालिबान द्वारा फिर से कब्जा कर लिया जाएगा,काबुल (एएनआई)। अमेरिका की अफगानिस्‍तान से वापसी के साथ ही यहां पर कब्‍जे को लेकर तालिबान और अफगान सेना के बीच जबरदस्‍त जंग जारी है। तालिबान बड़ी तेजी के साथ आगे बढ़ रहा है। अमेरिका और अफगान सेना लगातार उनको पीछे खदेड़ने के लिए पूरी ताकत लगा रही है। तालिबान को पूरी उम्‍मीद है कि वो एक बार फिर से अफगानिस्‍तान की सत्‍ता पर काबिज हो जाएगा।,0.62165236
u.s. general jealous that syrian army allowed to attack citizens,,अमेरिकी जनरल ईर्ष्या कि सीरियाई सेना नागरिकों पर हमला करने की अनुमति दी,"आजकल सोशल मीडिया पर एक वीडियो ने धूम मचा रखी है, जिसमें सीरियाई जनता को अमरीकी सैन्य वाहनों पर पत्थर फेंकते हुए देखा जा सकता है।",0.65419924
"'i promise to work tirelessly to achieve my campaign's goals,' threatens trump in terrifying address",,"'मैं अपने अभियान के लक्ष्यों को प्राप्त करने के लिए अथक प्रयास करने का वादा करता हूं,' ट्रम्प ने भयानक भाषण में धमकी दी",पाकिस्‍तानी प्रधानमंत्री ने उन्‍हें आतंक के खिलाफ सख्‍त कार्रवाई करने का भरोसा दिलाया है।,0.6097666
india opens new mohandas k. gandhi nuclear-testing facility,,भारत ने नई मोहनदास के गांधी परमाणु परीक्षण सुविधा खोली,भारत ने किया अपनी ताकत में इजाफा: अग्नि-1 मिसाइल का सफल परीक्षण,0.6638386
man attends 25-year nursery school reunion,,एक आदमी 25 साल की नर्सरी स्कूल पुनर्मिलन में भाग लेता है,शिक्षा से दूर हो गए प्राइमरी स्कूल के 35 बच्चे,0.6043805
couple forgets 70th wedding anniversary,,जोड़ी शादी की 70वीं वर्षगांठ भूल जाती है,हम 70 साल की बर्बादी को मिटा कर रख देंगे,0.6858805
"'you are donald trump, 45th president of the united states,' trump reads from faded tattoo on wrist",,"'आप डोनाल्ड ट्रंप हैं, संयुक्त राज्य अमेरिका के 45 वें राष्ट्रपति,' ट्रंप ने कलाई पर फीका हुआ टैटू से पढ़ा",पाकिस्तान के एक टीवी चैनल ने रिपोर्ट दी है कि अमरीका के नव निर्वाचित राष्ट्रपति डोनल्ड ट्रंप पाकिस्तान में पैदा हुए थे।,0.6362502
u.s. refuses to allow u.n. weapons inspectors back into iraq,,अमेरिका ने संयुक्त राष्ट्र हथियार निरीक्षकों को इराक में वापस जाने से इनकार कर दिया है।,अमेरिका ने अपने 300 और सैन्यकर्मियों को इराक भेजा,0.67901677
'new york times' publisher reveals asking trump to decrease anti-media rhetoric except against those fuckers at 'the washington post',,'न्यू यॉर्क टाइम्स' के प्रकाशक ने ट्रम्प से 'वाशिंगटन पोस्ट' के उन बकवास के अलावा मीडिया विरोधी बयानबाजी को कम करने के लिए कहा है।,वाशिंगटन। अमेरिका के राष्ट्रपति डोनाल्ड ट्रंप ने शुक्रवार को एक साक्षात्कार में माना कि उन्हें अपने द्वारा किये गए कुछ ट्वीट को लेकर ‘‘अक्सर’’ पछतावा होता है। ट्रंप ने बारस्टूल स्पोर्ट्स को दिए साक्षात्कार में कहा कि यह पुराने दिनों की तरह नहीं है जब लोग एक खत लिखते थे और इसे भेजने से पहले पूरा दिन पास लिये बैठे रहते थे जिससे उन्हें इस पर फिर से सोचने का वक्त मिल जाता था।,0.6561152
stop sign taking forever to change,,परिवर्तन करने के लिए अनंत समय लगता है,मौसम में फिर से आ सकता है बदलाव,0.60959744
college's new careerlink program connects students with thousands of annoyed alums,,कॉलेज का नया कैरियर लिंक कार्यक्रम छात्रों को हजारों परेशान पूर्व छात्रों के साथ जोड़ता है,हजारों छात्र परेशान,0.60919976
pectoral muscles targeted by fitness fundamentalists,,फिटनेस फाउंडेलिस्टों द्वारा लक्षित छाती की मांसपेशियां,योनि के लिए गेंदों की मदद से मांसपेशियों का प्रशिक्षण,0.6861869
area 31-year-old can't believe 'you must be born before this date to buy cigarettes' sign up to 1982,,क्षेत्र 31 वर्षीय विश्वास नहीं कर सकते 'आप सिगरेट खरीदने के लिए इस तारीख से पहले पैदा होना चाहिए' साइन अप करने के लिए 1982,'शादी की सही उम्र है 32 साल',0.61320937
"'it's not too late to reverse the alarming trend of climate change,' scientists who know it's too late announce",,"'जलवायु परिवर्तन के खतरनाक रुझान को उलटने के लिए अभी देर नहीं है,' वैज्ञानिकों को पता है कि यह बहुत देर हो चुकी है घोषणा","शोध के वरिष्ठ लेखक अंटोनियो गसपर्रिनी कहते हैं, ""जलवायु परिवर्तन दूर के भविष्य की चीज नहीं है."" वे कहते हैं कि यह जलवायु परिवर्तन के कारण स्वास्थ्य खतरों को लेकर अब तक का सबसे बड़ा अध्ययन है. गसपर्रिनी कहते हैं, ""हम पहले से ही स्वास्थ्य पर नकारात्मक प्रभावों को माप सकते हैं.""",0.6352751
michelle obama not so keen on president's new bangs,,मिशेल ओबामा राष्ट्रपति की नई धड़कनों के बारे में इतना उत्साहित नहीं हैं,फिर अमरीकी के 44 वें राष्ट्रपति का पद संभालने जा रहे ओबामा ने कहा कि वे हमेशा की तरह उम्मीद से भरे हुए हैं.,0.60334516
indian casino one of the saddest places on earth,,भारतीय कैसीनो पृथ्वी पर सबसे दुखद स्थानों में से एक है,"भारत दुनिया का तीसरा देश, जहां सबसे ज्यादा अरबपति",0.6094656
mother constantly worried about son stationed on u.s. military base,,माँ लगातार अपने बेटे को अमेरिकी सैन्य आधार पर तैनात करने के बारे में चिंतित थी,सेना में जुड़ने से किया इंकार : उन्होंने अपने मुस्लिम धर्म की बात रखते हुए अमेरिकी सेना से जुड़ने से इंकार किया।,0.6106048
"precocious teen able to read, write",,"प्रारम्भिक किशोर पढ़ने, लिखने में सक्षम","- हिन्दी और अंग्रेजी भाषा पढ़ने, लिखने और बोलने का ज्ञान होना चाहिए।",0.6005045
powerball officials remove plastic balls from pig urine brine,,पावरबॉल अधिकारी सूअर के मूत्र की सलून से प्लास्टिक की गेंदों को निकालते हैं,स्टेशन पर सफाईकर्मी ने शौचालय के नल से प्लास्टिक पाइप जोड़ दिया और पेयजल टंकी में पानी भर दिया.,0.6181029
u.s. advises allies not to border russia,,संयुक्त राज्य अमेरिका ने सहयोगियों को रूस की सीमा से दूर रहने की सलाह दी है।,"वॉशिंगटन में अमेरिकी विदेश विभाग के प्रवक्ता ने बुधवार को कहा था कि हम अपने सभी सहयोगी और साझेदार देशों से रूस के साथ ऐसे लेन-देन से दूर रहने का अनुरोध करते हैं, जो सीएएटीएसए के तहत प्रतिबंधों को आमंत्रित करता हो। रूस से अरबों डॉलर के 'एस-400 वायु मिसाइल रक्षा प्रणाली' खरीदने की भारत की योजना के बारे में पूछे जाने पर उन्होंने यह कहा था।",0.69325715
college graduate to never read a book again,,कॉलेज के स्नातक को फिर से कोई किताब नहीं पढ़नी चाहिए,कुछ कालेजों में शिक्षक गंभीर नहीं,0.6474455
gross doctors recommend drinking 8 warm cups of clam juice a day,,कच्चे डॉक्टर दिन में 8 गरम कप मच्छर का रस पीने की सलाह देते हैं,"आयुर्वेद के अनुसार दिन में दूध पीने का एक विशेष समय होता है कि कब इसे पीना चाहिए और कब नहीं, जिससे आपको इसके ज्यादा से ज्यादा लाभ मिल सके। आइये इसके बारे में एक्सपर्ट्स की राय जानते हैं। आयुर्वेदिक एक्सपर्ट्स डॉ आशुतोष गौतम कहते हैं कि दूध पीने के दो विचार होते हैं।",0.6034728
our nation's businessmen: are they just in it for the money?,,हमारे देश के व्यापारियों: क्या वे केवल पैसे के लिए इसमें हैं?,"इनका एक ही सवाल है-  ""क्या हम देश के नागरिक नहीं हैं.""",0.66171855
obama visits kindergarten to read class 200-page memorandum on health care,,ओबामा ने किंडरगार्टन का दौरा किया और स्वास्थ्य देखभाल पर 200 पृष्ठों का ज्ञापन पढ़ा,"गांधी जयंती पर पीएम मोदी ने अहमदाबाद में संबोधित किया, बोले- स्वच्छता पर हमारी उपलब्धि से दुनिया हैरान",0.6082576
thousands dead in indonesia again,,इंडोनेशिया में फिर से हजारों लोग मारे गए,नेपाल में अभी भी फंसे हैं हजारों भारतीय,0.73329484
gamers rejoice! this potion restores 20 hp,,इस दवाई 20 hp को बहाल करता है,यह जूस आपको पूरे दिन फ्रेश महसूस कराएगा।,0.6056379
undecided debate viewer waiting until he hears same responses for seventh time before making decision,,अनिर्णित बहस दर्शक निर्णय लेने से पहले सातवीं बार एक ही प्रतिक्रिया सुनने तक इंतजार कर रहा है,नीतीश को फैसला लेने से पहले बैठक तक इंतजार करना चाहिए था,0.6367383
man can get by in his own language,,मनुष्य अपनी भाषा में रह सकता है,भाषा एवं संस्कृति.,0.6074316
former lovers meet in coffee shop for one last cliché,,पूर्व प्रेमी एक आखिरी क्लिच के लिए कॉफी शॉप में मिलते हैं,"उसके पुराने दोस्त उसे एक कैफे में ले जाते हैं जहां उसके लिए रोस्ट बीफ़, चकुंदर, एसपैरेगस, पाइ और कॉफ़ी मांगवाए जाते हैं.",0.62231785
man gets all the way to hospital just to find out wife will be fine,,आदमी अस्पताल तक जाता है केवल यह पता लगाने के लिए कि पत्नी ठीक हो जाएगी,उनकी सेहत का राज जानने के लिए लोग उत्सुक,0.6204779
nasa celebrates 60th anniversary of launching first moon to orbit earth,,नासा ने पृथ्वी की कक्षा में पहला चंद्रमा लॉन्च करने की 60वीं वर्षगांठ मनाई,100वें उपग्रह की सफल लॉन्चिंग कर इसरो ने देश को ‘नए साल का तोहफा’ दिया,0.70271164
police continue search for missing gunman,,पुलिस लापता बंदूकधारियों की तलाश जारी रखती है,मामले में दो और आरोपियों की तलाश में पुलिस,0.6840862
suburbanite shocked by poor condition of urban mall,,शहरी मॉल की खराब स्थिति से सदरवासी चौंक गए,- नगर निगम की अनदेखी से घंटाघर के व्यापारी हुए परेशान,0.67234445
good scissors not in the fucking drawer,,अच्छा कैंची नहीं कमबख्त दराज में,न्यायपालिका में हस्तक्षेप अच्छा नहीं,0.627201
report: average person spends 18 hours standing at bar deciding what to drink,,रिपोर्टः औसत व्यक्ति 18 घंटे बार में खड़े होकर तय करता है कि क्या पीना है,डेढ़ घंटे का सपना : एक सामान्य वयस्क एक रात में औसतन डेढ़ से तीन घंटे सपने देखता है।,0.6251465
sniper school gets to have class on roof today,,स्नाइपर स्कूल आज छत पर कक्षा है,आज से प्राथमिक विद्यालय में सुनने को मिलेगी बच्चों की किलकारी,0.6077804
egyptians concerned about direction government is toppling in,,मिस्र के लोगों को दिशा सरकार गिर रहा है के बारे में चिंतित,कहा- मोदी सरकार जनता को कर रही है परेशान,0.60844064
biden investigated for questionable workers' comp claim,,श्रमिकों के संदिग्ध मुआवजे के दावे के लिए जांच की गई,"वेतन पुनरीक्षण की मांग, धरने पर बैठे कर्मचारी",0.6425071
ceo has female sex organs,,सीईओ के पास महिला यौन अंग हैं,महिला अफसरों से चीढ़ है डीसी सर को,0.6427745
closing of state aviary facilities puts hundreds of mentally ill birds on the streets,,सरकारी विमानन सुविधाओं को बंद करने से सैकड़ों मानसिक रूप से बीमार पक्षियों को सड़कों पर छोड़ दिया गया है,तूफान के चलते सभी चिकित्सकों और स्वास्थ्य सेवा कर्मियों की छुट्टियां रद्द,0.6164008
family impressed by extra effort father putting in to hide drinking,,पिता शराब पीने से बचने के लिए अतिरिक्त प्रयास करने से परिवार प्रभावित हुआ,परिवार वालों ने शराब पीने से मना किया तो तीन दोस्तों ने दी जान,0.6371272
hire of local moron gives nation hope for employment,,स्थानीय बेवकूफ की नियुक्ति रोजगार के लिए राष्ट्र को आशा देता है,"घरेलू IT कंपनियां देने जा रही हैं जॉब की सौगात, दूसरी छमाही में 4.5 लाख कर्मचारियों की करेंगी हायरिंग",0.6210507
school of the arts aims to transform boys and girls into insufferable young men and women,,कला के स्कूल का उद्देश्य लड़कों और लड़कियों को असहनीय युवा पुरुषों और महिलाओं में बदलना है,टीम की यह कवायद कला और मानविकी विषय से जुड़े लोगों को अमर बनाने के लिए की गई है.,0.659595
woman masturbates to concept of commitment,,महिला प्रतिबद्धता की अवधारणा के लिए हस्तमैथुन करती है,पुरुषों का ध्यान खींचने के लिए महिलाएं करती हैं गॉसिप,0.6411197
local woman dies of lost cell phone,,स्थानीय महिला मोबाइल खोने से मर जाती है,जमीन पर रखे ट्रांसफॉर्मर से चिपककर महिला की मौत,0.6389778
"'i'd like you to post long, aggressive rants on social media,' says bernie sanders in supporter's interpretation of speech",,"'मैं चाहता हूं कि आप सोशल मीडिया पर लंबे, आक्रामक रंट पोस्ट करें,' बर्नी सैंडर्स ने भाषण की समर्थक की व्याख्या में कहा","न्यूज एजेंसी ANI के अनुसार, उन्होंने चुनाव प्रचार के दौरान राजस्थान की सीएम वसुंधरा राजे को लेकर आपत्तिजनक टिप्पणी की थी. शरद यादव ने एक रैली के दौरान वसुंधरा राजे पर ऐसी अभद्र टिप्पणी की है जिसे हम लिख नहीं सकते हैं.",0.61025095
local company introduces new take your daughter's friend to work day,,स्थानीय कंपनी नए पेश करता है अपनी बेटी के दोस्त को काम के दिन ले,स्थानीय कंपनियों को काम,0.6261748
psychologists advise practicing words 'president trump' over next 2 months to prepare for inauguration,,मनोवैज्ञानिकों ने शपथ ग्रहण की तैयारी के लिए अगले 2 महीनों में 'राष्ट्रपति ट्रम्प' शब्द का अभ्यास करने की सलाह दी है।,"राष्ट्रपति मुशर्रफ़ ने वादा किया कि जिन लोगों के पास सिर छुपाने की जगह नहीं है, उन्हें दो सप्ताह के अंदर टैंट उपलब्ध कराए जाएंगे.",0.6125744
"zika virus joins lack of paid leave, unaffordable child care as reasons woman afraid of getting pregnant",,ज़िका वायरस की वजह से महिलाएं गर्भवती होने से डरती हैं,सेनेटरी नैपकीन के अभाव से महिलाओं में हो जाता है संक्रमण,0.6126525
"autopsy determines total loser's corpse contained no traces of drugs, alcohol",,"शव परीक्षण से पता चलता है कि लाश में ड्रग्स, शराब का कोई निशान नहीं था।","सीबीआई को एम्स के डॉक्टरों संग होटल लीलावती के कमरा नम्बर 345 से सिगरेट, पानी की बोतल और दीवार पर लगे कथित खून के धब्बे मिले थे। जांच में पाया गया था कि, सिगरेट में कोई भी खतरनाक पदार्थ नहीं मिला है। पानी में भी जहर नहीं था। दीवार पर लगे धब्बे खून के नहीं पाए गए ऐसे में सवाल यही उठता है कि आखिर सुनंदा पुष्कर के शरीर में जहर कैसे गया।",0.65664476
mta reveals they have no idea where voices speaking to everyone on subway coming from,,एमटीए से पता चलता है कि उन्हें पता नहीं है कि मेट्रो में सभी से बात करने वाली आवाज़ें कहां से आ रही हैं,कहां है मेट्रो,0.65523803
area fifth-grader won't shut up about raccoons,,क्षेत्र पांचवीं कक्षा के छात्र मकड़ियों के बारे में चुप नहीं होगा,पांचवीं तक के बच्चे क्षेत्रिय भाषा में कर सकेंगे पढ़ाई,0.63474256
five minutes of watching indian channel leads to five hours of watching indian channel,,पांच मिनट का इंडियन चैनल देखने से पांच घंटे का इंडियन चैनल देखने का समय मिलता है।,'हिन्दी मीडियम' का सही नाम दरअसल 'इंग्लिश मीडियम' होना चाहिए था क्योंकि ये फ़िल्म भारतीय मध्यम वर्गीय परिवारों में अँग्रेज़ी मीडियम की पढ़ाई को लेकर वहशत की हद तक पहुँच चुकी दीवानगी को दर्शाती है. ये दीवानगी उस असुरक्षा से पैदा हुई है जो मध्यवर्ग के माता-पिताओं को लगातार घेरे रहती है कि अगर हमारा बच्चा अँग्रेज़ी न बोल पाया तो पिछड़ा कहलाएगा और हिन्दी मीडियम में पढ़ने वाले तो करियर की दौड़ में पिछड़ ही जाते हैं.,0.62427753
sunset shot at,,सूर्यास्त पर गोली मार दी,समीप से मारी गई है गोली,0.63031745
cia headquarters disappears,,सीआईए मुख्यालय गायब हो जाता है,सीबीएसई का मुख्यालय कहां है.,0.66411763
"facebook bans thousands of snowboarders, base jumpers in crackdown on 'dangerous' accounts",,फेसबुक ने हजारों स्नोबोर्डर्स और बेस जंपरों पर प्रतिबंध लगा दिया है।,फेसबुक को रोकना असंभव,0.6348656
allowance to teach child importance of parental dependence,,माता-पिता की निर्भरता के महत्व को बच्चों को सिखाने के लिए भत्ता,उच्च शिक्षा के लिए बैंक से ऋण लेने वाले विद्यार्थियों को ब्याज अनुदान,0.6041814
data technician by day a data technician by night,,दिन में डेटा तकनीशियन और रात में डेटा तकनीशियन,दिन में डॉक्टर रहती है लेकिन रात को सिर्फ नर्स व आया रहती है। मरीज को अगर कोई दिक्कत होती है तो स्टाफ बुलाने के बाद भी कोई नहीं सुनता।,0.631973
lester holt begins debate by reminding audience these the candidates they chose,,लेस्टर होल्ट ने दर्शकों को याद दिलाकर बहस शुरू की कि इन उम्मीदवारों को उन्होंने चुना है।,डिबेट की शुरुआत में  होस्ट क्रिस वैलेस ने दोनों प्रतिद्वंदियों से सुप्रीम कोर्ट के अगले न्यायाधीश के नामांकन को लेकर सवाल पूछा.,0.6057222
report: election may come down to single candidate,,रिपोर्टः चुनाव केवल एक उम्मीदवार के लिए हो सकता है,चयन प्रक्रिया: इंटरव्यू और परीक्षा के आधार पर चयन होगा।,0.6299732
cia headquarters disappears,,सीआईए मुख्यालय गायब हो जाता है,"केन्द्रीय जाँच अन्वेषण ब्यूरो यानी सीबीआई निरंतर अपनी साख खोती जा रही है, समय आ गय…",0.6073563
man surrounded by loved ones feels awkward being only person dying,,प्रियजनों से घिरे आदमी को अकेले मरने वाला व्यक्ति होने के लिए असहज महसूस होता है,-सच्चे दोस्त नहीं मिलने से अकेलेपन के चलते हो रहे डिप्रेशन के शिकार,0.6268852
child makes useless gesture to help struggling family,,बच्चे संघर्षरत परिवार की मदद करने के लिए बेकार इशारा करता है,परिवार ने लगाई मदद की गुहार,0.6510977
obama's aunt sends him article mentioning united states,,ओबामा की चाची ने उन्हें संयुक्त राज्य अमेरिका का उल्लेख करने वाली एक लेख भेजी,ममता ने पीएम को पत्र लिखकर भेजने से किया इनकार,0.61437035
report: it going to take way more than an inconceivable act of violence for country to rise above politics,,रिपोर्ट: देश को राजनीति से ऊपर उठने के लिए अकल्पनीय हिंसा से अधिक की आवश्यकता होगी।,"और सच कहें, तो कांग्रेस से ज्यादा देश की जरूरत है.",0.60429335
picture most closely resembling actual self immediately deleted,,तस्वीर सबसे निकटता से वास्तविक स्वयं की तरह लग रहा है तुरंत हटा दिया,फोटो की डिलीट,0.60111856
"woman deriving some sort of sick pleasure from healthy new diet, lifestyle",,"महिला स्वस्थ नए आहार, जीवन शैली से कुछ तरह की बीमार आनंद प्राप्त","नई दिल्ली| बच्चे हरी सब्जियां, अंकुरित अनाज खाना ज्यादा पसंद नहीं करते हैं, लेकिन उनके स्वास्थय के लिए स्वस्थ आहार लेना बेहद जरूरी है, इसलिए उन्हें स्वास्थ्यप्रद भोजन इस तरह से परोसें कि देखने में यह अच्छा दिखे और वे खाने में दिलचस्पी लें।  जिमपिक (ऑनलाइन फिटनेस प्लेटफॉर्म) की पोषण व आहार विशेषज्ञ सुजेता शेट्टी और डॉक्टर इंस्टा (टेली-मेडिसिन प्लेटफॉर्म) की आहार विशेषज्ञ ने बच्चों के मन में स्वस्थ आहार के प्रति रुचि जगाने के संबंध में सुझाव दिए हैं।",0.61048824
kim jong-un panics after returning to north korea to find country's populace has escaped,,किम जोंग-उन उत्तर कोरिया लौटने के बाद घबरा गए देश की आबादी भाग गई है,किम जोंग-इल के देहांत के बाद नॉर्थ कोरिया के हजारों नागरिकों को 6 महीने की सजा सुनाई गई थी। सरकार के मुताबिक अपने नेता की मौत पर वे उतने दुखी नहीं दिख रहे थे जितना कि उन्हें दिखना चाहिए था। (Photo: AP),0.63086575
woman who changed self to please boyfriend enjoying happy long-term relationship,,एक महिला जो अपने प्रेमी को खुश करने के लिए खुद को बदलती है सुखद दीर्घकालिक संबंध का आनंद ले रही है,भारतीय महिलाओं को विवाह के बाद मां बनने का सुख मिलता है. मां के लिए ये पल बहुत ही अच्छा होता है. इससे विवाहित जीवन में और मधुरता आ जाती है. परिवार में खुशिया फ़ैल जाती है.,0.6043999
epa warns americans not to breathe,,ईपीए अमेरिकियों को सांस नहीं लेने की चेतावनी देता है,अमेरिकी विमानों को पाकिस्तान एयरस्पेस इस्तेमाल न करने की सलाह,0.6290607
trump resigns from presidents local 150 in protest of unions,,ट्रेड यूनियनों के विरोध में ट्रंप ने राष्ट्रपति पद से इस्तीफा दे दिया,ट्रंप के दावे को खारिज कर चुकी है सरकार,0.73146653
"passage of health care reform brings democrat-republican score to 317,622-318,047",,"स्वास्थ्य सेवा सुधार के पारित होने से डेमोक्रेटिक-रिपब्लिकन स्कोर 317,622-318,047 हो गया है।","2- 3,869 लोगों को ठीक होने के बाद अस्पताल से छुट्टी मिल चुकी है.",0.65080357
"'you are donald trump, 45th president of the united states,' trump reads from faded tattoo on wrist",,"'आप डोनाल्ड ट्रंप हैं, संयुक्त राज्य अमेरिका के 45 वें राष्ट्रपति,' ट्रंप ने कलाई पर फीका हुआ टैटू से पढ़ा",अमेरिका के राष्ट्रपति डॉनल्ड ट्रंप ने आज कहा कि चीन के साथ उनके देश की,0.64954776
courtroom artist clearly infatuated with bailiff,,कोर्ट रूम कलाकार स्पष्ट रूप से न्यायिक अधिकारी से प्यार करता था,"एक्ट्रेस के बेडरूम सीक्रेट का हुआ कोर्ट में खुलासा, एक्टर पति ने बताई हर बात, हर कोई हैरान",0.6027647
hillary launches campaign to raise $100 million or else she'll run for president,,हिलेरी ने $100 मिलियन जुटाने के लिए अभियान शुरू किया अन्यथा वह राष्ट्रपति पद के लिए दौड़ेंगी,Home » दुनिया » एशियाई अमेरिकियों तक पहुंचने के लिए हिलेरी का अभियान शुरू,0.62183636
grocery-store worker can't bear to eat food anymore,,किराने की दुकान में काम करने वाला अब खाना नहीं खा सकता,अब गेहूं के अवशेषों में आग लगाने वाले किसानों की खैर नहीं,0.6230984
school teacher not about to risk her life for derek,,स्कूल के शिक्षक डेरेक के लिए अपनी जान जोखिम में रखने के बारे में नहीं है,चुनाव ड्यूटी के दौरान मौत के मामले में शिक्षकों ने दी अदालत का दरवाजा खटखटाने की चेतावनी,0.6054027
scientists find human vocal cords developed over millennia to lower voice when speculating on acquaintance's sexual orientation,,वैज्ञानिकों का कहना है कि मनुष्य की आवाज की तारें सहस्राब्दियों के दौरान विकसित हुई हैं ताकि परिचितों की यौन अभिविन्यास के बारे में अनुमान लगाने पर उनकी आवाज कम हो।,"सिगमैन ने कहा कि ये वेबसाइट्स लोगों के बीच आपसी संपर्क बढ़ाने के उद्देश्य से बनाई गई हैं, पर ये लोगों को ज्यादा अकेला कर रही हैं। शोध बताते हैं कि वर्ष 1987 से लोगों के आमने-सामने बात करने के घंटों में काफी कमी आई है, क्योंकि इलेक्ट्रॉनिक माध्यम का इस्तेमाल बढ़ गया है।",0.61935806
study finds 79% of statistics now sobering,,अध्ययन में पाया गया है कि 79% आंकड़े अब समझदार हैं,"साप्ताहिक पत्रिका स्टैर्न द्वारा कराए गए जनमत सर्वेक्षण में 79 फीसदी लोगों का कहना है कि सामाजिक कल्याण भत्ता पाने वाले इन परिवारों के बच्चों को ट्यूशन, संगीत शिक्षा और खेल संगठनों की सदस्यता के लिए टोकन दिया जाना चाहिए.",0.6175481
cuba to buy car,,कार खरीदने के लिए क्यूबा,खरीद सकेंगे खुद की कार,0.6969484
perfect gentleman does not assault drunk woman,,पूर्ण सज्जन शराबी स्त्री पर आक्रमण नहीं करता,दूल्हे ने दुल्हन पर धारदार हथियार से किया हमला,0.6095165
local audience deemed 'great',,"स्थानीय दर्शकों को ""महान"" माना जाता है",‘अधिक स्थानीय दृष्टिकोण की आवश्यकता ’,0.62536156
couple always like this,,हमेशा इस तरह की एक जोड़ी,पहली बार हुआ ऐसा,0.63163376
second-semester fling leads to first-trimester abortion,,दूसरे सेमेस्टर में छेड़खानी करने से पहली तिमाही में गर्भपात होता है,पहली कक्षा में प्रवेश मार्च के पहले हफ्ते से,0.6279871
pet winterized,,पालतू जानवर सर्दियों में,सर्दियों में बच्चों की देखभाल कैसे करे,0.72619116
